Date,balyasny--atlas-global-investments-class-u
1/31/2004,0.0107
2/29/2004,0.0336
3/31/2004,0.0359
4/30/2004,0.0202
5/31/2004,-0.0163
6/30/2004,0.0195
7/31/2004,-0.048
8/31/2004,-0.0811
9/30/2004,0.0452
10/31/2004,0.0214
11/30/2004,0.0764
12/31/2004,0.0625
1/31/2005,-0.0019
2/28/2005,0.034
3/31/2005,0.0149
4/30/2005,-0.0891
5/31/2005,-0.0102
6/30/2005,0.0224
7/31/2005,0.0462
8/31/2005,0.0425
9/30/2005,0.0157
10/31/2005,0.0042
11/30/2005,0.0189
12/31/2005,0.0707
1/31/2006,0.0632
2/28/2006,0.0446
3/31/2006,0.0306
4/30/2006,0.0405
5/31/2006,-0.0171
6/30/2006,0.0231
7/31/2006,-0.0033
8/31/2006,-0.01
9/30/2006,-0.0065
10/31/2006,0.0244
11/30/2006,0.0176
12/31/2006,0.0226
1/31/2007,0.0269
2/28/2007,0.0053
3/31/2007,0.009
4/30/2007,0.0124
5/31/2007,0.0141
6/30/2007,0.0143
7/31/2007,0.0204
8/31/2007,0.0094
9/30/2007,0.0222
10/31/2007,0.0613
11/30/2007,0.0331
12/31/2007,0.0157
1/31/2008,-0.0238
2/29/2008,0.039
3/31/2008,-0.0115
4/30/2008,0.0143
5/31/2008,0.0338
6/30/2008,0.017
7/31/2008,0.0115
8/31/2008,-0.0062
9/30/2008,-0.0363
10/31/2008,-0.0108
11/30/2008,-0.006
12/31/2008,-0.0137
1/31/2009,0.0159
2/28/2009,0.0071
3/31/2009,-0.0024
4/30/2009,-0.0011
5/31/2009,0.0129
6/30/2009,-0.0017
7/31/2009,0.0108
8/31/2009,0.0068
9/30/2009,0.0075
10/31/2009,0.0053
11/30/2009,0.0017
12/31/2009,0.02
1/31/2010,0.0227
2/28/2010,-0.0158
3/31/2010,0.0163
4/30/2010,0.0484
5/31/2010,-0.0166
6/30/2010,-0.0225
7/31/2010,0.0149
8/31/2010,-0.0025
9/30/2010,0.0327
10/31/2010,0.0144
11/30/2010,0.0077
12/31/2010,0.029
1/31/2011,0.028
2/28/2011,0.0101
3/31/2011,0.0121
4/30/2011,0.0187
5/31/2011,0.0017
6/30/2011,-0.0051
7/31/2011,0.0174
8/31/2011,-0.0155
9/30/2011,-0.0108
10/31/2011,-0.011
11/30/2011,-0.0093
12/31/2011,0.0011
1/31/2012,0.0098
2/29/2012,-0.0189
3/31/2012,-0.002
4/30/2012,-0.0065
5/31/2012,0.0023
6/30/2012,0.0081
7/31/2012,0.0183
8/31/2012,0.0045
9/30/2012,0.0063
10/31/2012,0.0066
11/30/2012,-0.0006
12/31/2012,0.02
1/31/2013,0.0089
2/28/2013,-0.032
3/31/2013,0.0216
4/30/2013,0.012
5/31/2013,0.0082
6/30/2013,0.0029
7/31/2013,0.0113
8/31/2013,0.0073
9/30/2013,0.03
10/31/2013,0.0234
11/30/2013,0.0174
12/31/2013,0.0126
1/31/2014,0.0099
2/28/2014,0.026
3/31/2014,-0.002
4/30/2014,-0.0172
5/31/2014,0.0123
6/30/2014,0.0105
7/31/2014,-0.0004
8/31/2014,0.0051
9/30/2014,0.0282
10/31/2014,-0.0193
11/30/2014,0.007
12/31/2014,0.011
1/31/2015,-0.0092
2/28/2015,0.0063
3/31/2015,0.0043
4/30/2015,0.0113
5/31/2015,0.0125
6/30/2015,0.002
7/31/2015,0.0031
8/31/2015,-0.0007
9/30/2015,-0.0091
10/31/2015,-0.0026
11/30/2015,0.0014
12/31/2015,0.0052
1/31/2016,-0.0051
2/29/2016,-0.0222
3/31/2016,-0.0077
4/30/2016,0.0043
5/31/2016,0.0032
6/30/2016,-0.0026
7/31/2016,0.004
8/31/2016,0.0126
9/30/2016,0.0078
10/31/2016,-0.0031
11/30/2016,-0.0077
12/31/2016,0.0041
1/31/2017,0.015
2/28/2017,-0.0032
3/31/2017,0.0039
4/30/2017,-0.0072
5/31/2017,0.0031
6/30/2017,-0.011
7/31/2017,-0.001
8/31/2017,0.0197
9/30/2017,0.003
10/31/2017,0.0045
11/30/2017,-0.0065
12/31/2017,0.0164
1/31/2018,0.004
2/28/2018,-0.0179
3/31/2018,-0.0043
4/30/2018,0.0028
5/31/2018,-0.005
6/30/2018,0.0032
7/31/2018,0.0099
8/31/2018,0.0006
9/30/2018,0.0101
10/31/2018,-0.0181
11/30/2018,-0.0392
12/31/2018,0.0047
1/31/2019,0.0229
2/28/2019,0.0008
3/31/2019,0.0043
4/30/2019,0.0252
5/31/2019,-0.0013
6/30/2019,0.0006
7/31/2019,0.0149
8/31/2019,0.002
9/30/2019,-0.0091
10/31/2019,-0.0026
11/30/2019,0.0038
12/31/2019,0.0122
1/31/2020,0.0005
2/29/2020,0.0072
3/31/2020,0.0222
4/30/2020,0.0194
5/31/2020,0.0247
6/30/2020,0.015
7/31/2020,0.026
8/31/2020,0.0143
9/30/2020,-0.0012
10/31/2020,0.0107
11/30/2020,0.0218
12/31/2020,0.018
1/31/2021,-0.0037
2/28/2021,0.0213
3/31/2021,-0.0036
4/30/2021,0.0058
5/31/2021,-0.0016
6/30/2021,-0.0016
7/31/2021,-0.0019
8/31/2021,0.0048
