Date,man-ahl--evolution-frontier
5/31/2015,-0.025
6/30/2015,0
7/31/2015,0.025
8/31/2015,-0.003
9/30/2015,0.048
10/31/2015,-0.038
11/30/2015,0.031
12/31/2015,0.029
1/31/2016,0.017
2/29/2016,0.033
3/31/2016,-0.016
4/30/2016,-0.03
5/31/2016,-0.019
6/30/2016,-0.033
7/31/2016,0.009
8/31/2016,0.001
9/30/2016,0.004
10/31/2016,0.008
11/30/2016,-0.02
12/31/2016,0.025
1/31/2017,0.006
2/28/2017,0.031
3/31/2017,-0.01
4/30/2017,0.018
5/31/2017,0.003
6/30/2017,-0.011
7/31/2017,0.02
8/31/2017,0.034
9/30/2017,0.007
10/31/2017,0.039
11/30/2017,-0.007
12/31/2017,0.025
1/31/2018,0.025
2/28/2018,-0.05
3/31/2018,-0.019
4/30/2018,0.012
5/31/2018,0.014
6/30/2018,-0.001
7/31/2018,-0.034
8/31/2018,0.066
9/30/2018,0.01
10/31/2018,-0.072
11/30/2018,-0.005
12/31/2018,0.031
1/31/2019,0.013
2/28/2019,-0.014
3/31/2019,0.027
4/30/2019,-0.019
5/31/2019,-0.006
6/30/2019,0.04
7/31/2019,0.02
8/31/2019,0.021
9/30/2019,-0.037
10/31/2019,0.003
11/30/2019,-0.007
12/31/2019,0.052
1/31/2020,-0.025
2/29/2020,-0.049
3/31/2020,0.014
4/30/2020,-0.032
5/31/2020,-0.035
6/30/2020,-0.023
7/31/2020,0.02
8/31/2020,0.004
9/30/2020,-0.008
10/31/2020,0.031
11/30/2020,0.013
12/31/2020,0.09
1/31/2021,0.009
2/28/2021,0.056
3/31/2021,0.028
4/30/2021,0.039
5/31/2021,0.048
6/30/2021,0.06
7/31/2021,0.015
8/31/2021,0.031
9/30/2021,0.07
10/31/2021,0.063
11/30/2021,-0.032
12/31/2021,0.02
