Date,man-ahl--evolution
9/30/2005,0.021
10/31/2005,-0.047
11/30/2005,0.037
12/31/2005,0.005
1/31/2006,0.036
2/28/2006,0.034
3/31/2006,0.005
4/30/2006,0.056
5/31/2006,-0.041
6/30/2006,-0.012
7/31/2006,-0.01
8/31/2006,0.043
9/30/2006,0.019
10/31/2006,0.042
11/30/2006,0.023
12/31/2006,0.024
1/31/2007,0.009
2/28/2007,-0.035
3/31/2007,-0.021
4/30/2007,0.061
5/31/2007,0.056
6/30/2007,-0.013
7/31/2007,0.047
8/31/2007,-0.06
9/30/2007,0.034
10/31/2007,0.036
11/30/2007,-0.012
12/31/2007,-0.006
1/31/2008,0.049
2/29/2008,0.055
3/31/2008,0.004
4/30/2008,-0.006
5/31/2008,0.026
6/30/2008,0.055
7/31/2008,-0.061
8/31/2008,0
9/30/2008,-0.072
10/31/2008,-0.003
11/30/2008,0.106
12/31/2008,0.072
1/31/2009,-0.005
2/28/2009,0.011
3/31/2009,-0.015
4/30/2009,-0.027
5/31/2009,0.009
6/30/2009,-0.006
7/31/2009,0.056
8/31/2009,-0.001
9/30/2009,0.026
10/31/2009,-0.051
11/30/2009,0.027
12/31/2009,0.008
1/31/2010,-0.004
2/28/2010,0.006
3/31/2010,0.061
4/30/2010,0.01
5/31/2010,-0.031
6/30/2010,0.024
7/31/2010,0.031
8/31/2010,0.064
9/30/2010,0.012
10/31/2010,0.042
11/30/2010,-0.047
12/31/2010,0.021
1/31/2011,-0.017
2/28/2011,0.002
3/31/2011,0
4/30/2011,0.026
5/31/2011,-0.003
6/30/2011,-0.048
7/31/2011,0.028
8/31/2011,0.132
9/30/2011,0.032
10/31/2011,-0.055
11/30/2011,-0.011
12/31/2011,0.028
1/31/2012,0.028
2/29/2012,0.005
3/31/2012,0.011
4/30/2012,0.015
5/31/2012,0.04
6/30/2012,-0.021
7/31/2012,0.044
8/31/2012,-0.005
9/30/2012,0.035
10/31/2012,0.017
11/30/2012,0.027
12/31/2012,0.019
1/31/2013,0.016
2/28/2013,-0.006
3/31/2013,0.018
4/30/2013,0.113
5/31/2013,-0.066
6/30/2013,-0.021
7/31/2013,0.02
8/31/2013,-0.022
9/30/2013,0.001
10/31/2013,0.07
11/30/2013,0.033
12/31/2013,0.012
1/31/2014,-0.02
2/28/2014,0.035
3/31/2014,0.004
4/30/2014,0.029
5/31/2014,0.054
6/30/2014,0.025
7/31/2014,-0.03
8/31/2014,0.037
9/30/2014,-0.023
10/31/2014,0.038
11/30/2014,0.053
12/31/2014,-0.012
1/31/2015,0.077
2/28/2015,-0.001
3/31/2015,0.017
4/30/2015,-0.028
5/31/2015,-0.01
6/30/2015,-0.027
7/31/2015,0.02
8/31/2015,-0.002
9/30/2015,0.037
10/31/2015,-0.027
11/30/2015,-0.004
12/31/2015,-0.016
1/31/2016,0.031
2/29/2016,0.029
3/31/2016,0.014
4/30/2016,-0.022
5/31/2016,-0.013
6/30/2016,0.015
7/31/2016,0.009
8/31/2016,-0.017
9/30/2016,-0.004
10/31/2016,0.004
11/30/2016,-0.016
12/31/2016,0.033
1/31/2017,0.003
2/28/2017,0.018
3/31/2017,0.006
4/30/2017,0.025
5/31/2017,0.028
6/30/2017,-0.011
7/31/2017,0.026
8/31/2017,0.015
9/30/2017,-0.008
10/31/2017,0.036
11/30/2017,0.007
12/31/2017,0.021
1/31/2018,0.019
2/28/2018,-0.049
3/31/2018,-0.009
4/30/2018,0.001
5/31/2018,0.001
6/30/2018,0.008
7/31/2018,-0.013
8/31/2018,0.045
9/30/2018,0.002
10/31/2018,-0.029
11/30/2018,-0.023
12/31/2018,0.038
1/31/2019,0.002
2/28/2019,-0.001
3/31/2019,0.058
4/30/2019,0.003
5/31/2019,0.007
6/30/2019,0.039
7/31/2019,0.019
8/31/2019,0.005
9/30/2019,-0.044
10/31/2019,-0.017
11/30/2019,0.03
12/31/2019,0.049
1/31/2020,-0.001
2/29/2020,-0.038
3/31/2020,0.041
4/30/2020,-0.006
5/31/2020,-0.006
6/30/2020,-0.018
7/31/2020,0.023
8/31/2020,0.006
9/30/2020,-0.009
10/31/2020,-0.005
11/30/2020,-0.001
12/31/2020,0.058
1/31/2021,-0.025
2/28/2021,-0.007
3/31/2021,0.021
4/30/2021,0.037
5/31/2021,0.034
6/30/2021,0.017
7/31/2021,0.029
8/31/2021,0.025
9/30/2021,-0.018
10/31/2021,0.034
11/30/2021,-0.006
12/31/2021,0.019
