Date,systematica--blue-trend
3/31/2004,-0.0353
4/30/2004,-0.01
5/31/2004,-0.0232
6/30/2004,0.0028
7/31/2004,0.0041
8/31/2004,0.0398
9/30/2004,0.0325
10/31/2004,0.0557
11/30/2004,-0.0218
12/31/2004,-0.0346
1/31/2005,0.0347
2/28/2005,0.0202
3/31/2005,-0.0133
4/30/2005,0.0493
5/31/2005,0.0505
6/30/2005,0.0212
7/31/2005,0.0686
8/31/2005,-0.0081
9/30/2005,-0.0321
10/31/2005,0.0513
11/30/2005,-0.022
12/31/2005,0.0497
1/31/2006,-0.0475
2/28/2006,0.0554
3/31/2006,0.0951
4/30/2006,-0.0515
5/31/2006,-0.0486
6/30/2006,-0.031
7/31/2006,0.0291
8/31/2006,-0.0009
9/30/2006,0.0248
10/31/2006,0.0047
11/30/2006,0.0403
12/31/2006,0.0391
1/31/2007,-0.0456
2/28/2007,-0.0141
3/31/2007,0.0601
4/30/2007,0.0726
5/31/2007,0.0309
6/30/2007,0.0039
7/31/2007,-0.0349
8/31/2007,0.0671
9/30/2007,0.0527
10/31/2007,0.0368
11/30/2007,-0.012
12/31/2007,0.0998
1/31/2008,0.0703
2/29/2008,0.0189
3/31/2008,-0.0606
4/30/2008,0.005
5/31/2008,0.0462
6/30/2008,-0.0435
7/31/2008,-0.0007
8/31/2008,0.0497
9/30/2008,0.1113
10/31/2008,0.0477
11/30/2008,0.0358
12/31/2008,-0.0064
1/31/2009,0.0004
2/28/2009,-0.0082
3/31/2009,-0.0442
4/30/2009,0.032
5/31/2009,-0.0248
6/30/2009,0.0087
7/31/2009,0.0234
8/31/2009,0.049
9/30/2009,-0.0026
10/31/2009,0.0679
11/30/2009,-0.0458
12/31/2009,-0.0294
1/31/2010,0.0406
2/28/2010,0.0618
3/31/2010,0.032
4/30/2010,-0.0828
5/31/2010,0.0072
6/30/2010,0.0094
7/31/2010,-0.0001
8/31/2010,0.0498
9/30/2010,0.034
10/31/2010,-0.0297
11/30/2010,0.0671
12/31/2010,0.006
1/31/2011,0.0348
2/28/2011,-0.0081
3/31/2011,0.0597
4/30/2011,-0.0317
5/31/2011,-0.0384
6/30/2011,0.0403
7/31/2011,-0.0203
8/31/2011,0.0016
9/30/2011,-0.0725
10/31/2011,0.0174
11/30/2011,0.0222
12/31/2011,0.0081
1/31/2012,0.0123
2/29/2012,-0.0488
3/31/2012,0.0371
4/30/2012,0.0106
5/31/2012,-0.0539
6/30/2012,0.0662
7/31/2012,-0.0011
8/31/2012,-0.0019
9/30/2012,-0.0534
10/31/2012,0.0173
11/30/2012,0.015
12/31/2012,0.0381
1/31/2013,-0.0123
2/28/2013,0.0248
3/31/2013,0.0252
4/30/2013,-0.0815
5/31/2013,-0.0946
6/30/2013,-0.0079
7/31/2013,-0.0051
8/31/2013,-0.0078
9/30/2013,0.0382
10/31/2013,0.0029
11/30/2013,-0.0312
12/31/2013,-0.0395
1/31/2014,0.027
2/28/2014,-0.024
3/31/2014,0.0096
4/30/2014,0.0632
5/31/2014,0.0273
6/30/2014,-0.0211
7/31/2014,0.0489
8/31/2014,-0.0273
9/30/2014,0.0219
10/31/2014,0.0495
11/30/2014,-0.009
12/31/2014,0.0953
1/31/2015,0.001
2/28/2015,0.0188
3/31/2015,-0.0316
4/30/2015,-0.0213
5/31/2015,-0.0833
6/30/2015,0.0619
7/31/2015,0.0037
8/31/2015,0.0242
9/30/2015,-0.0188
10/31/2015,0.0323
11/30/2015,-0.0361
12/31/2015,0.0747
1/31/2016,0.0218
2/29/2016,-0.0196
3/31/2016,-0.07
4/30/2016,-0.0267
5/31/2016,0.0272
6/30/2016,0.0297
7/31/2016,-0.0413
8/31/2016,-0.0599
9/30/2016,-0.045
10/31/2016,-0.0088
11/30/2016,0.0124
12/31/2016,-0.0223
1/31/2017,0.0221
2/28/2017,-0.0167
3/31/2017,0.0108
4/30/2017,-0.0035
5/31/2017,-0.0557
6/30/2017,0.0017
7/31/2017,0.0437
8/31/2017,-0.0467
9/30/2017,0.0616
10/31/2017,-0.0179
11/30/2017,0.0484
12/31/2017,0.0692
1/31/2018,-0.0907
2/28/2018,-0.0111
3/31/2018,-0.0005
4/30/2018,-0.0306
5/31/2018,-0.0095
6/30/2018,-0.0161
7/31/2018,0.0178
8/31/2018,-0.01
9/30/2018,-0.0292
10/31/2018,-0.0267
11/30/2018,0.0315
12/31/2018,-0.0331
1/31/2019,0.0038
2/28/2019,0.0775
3/31/2019,0.0432
4/30/2019,0.0075
5/31/2019,0.0095
6/30/2019,0.055
7/31/2019,0.0839
8/31/2019,-0.0589
9/30/2019,-0.0538
10/31/2019,0.0055
11/30/2019,-0.0001
12/31/2019,0.0094
1/31/2020,0.0399
2/29/2020,0.0458
3/31/2020,-0.0112
4/30/2020,-0.0198
5/31/2020,-0.0166
6/30/2020,0.0296
7/31/2020,-0.0172
8/31/2020,-0.0448
9/30/2020,-0.0287
10/31/2020,0.0483
11/30/2020,0.1072
12/31/2020,-0.0171
1/31/2021,0.0104
2/28/2021,0.0089
3/31/2021,0.0552
4/30/2021,0.0385
5/31/2021,-0.0297
6/30/2021,0.0085
7/31/2021,-0.0053
8/31/2021,-0.0033
9/30/2021,0.0342
