Date,tcw--sepulveda
6/30/2007,0.0007
7/31/2007,-0.0005
8/31/2007,-0.0066
9/30/2007,0.0295
10/31/2007,0.0127
11/30/2007,-0.0722
12/31/2007,0.0331
1/31/2008,-0.0146
2/29/2008,0.0304
3/31/2008,0.0029
4/30/2008,-0.0113
5/31/2008,0.0251
6/30/2008,-0.039
7/31/2008,0.0089
8/31/2008,0.0281
9/30/2008,-0.1094
10/31/2008,-0.1085
11/30/2008,-0.0552
12/31/2008,0.0525
1/31/2009,0.007
2/28/2009,-0.0813
3/31/2009,0.0809
4/30/2009,0.1086
5/31/2009,0.0688
6/30/2009,0.043
7/31/2009,0.0284
8/31/2009,0.0319
9/30/2009,0.0438
10/31/2009,0.0089
11/30/2009,0.0158
12/31/2009,0.0398
1/31/2010,0.0112
2/28/2010,0.0204
3/31/2010,0.0235
4/30/2010,0.0313
5/31/2010,-0.0004
6/30/2010,-0.0112
7/31/2010,0.0114
8/31/2010,-0.0142
9/30/2010,0.0432
10/31/2010,0.0282
11/30/2010,0.0124
12/31/2010,0.038
1/31/2011,0.0274
2/28/2011,0.0102
3/31/2011,-0.0033
4/30/2011,0.0158
5/31/2011,-0.0131
6/30/2011,-0.024
7/31/2011,-0.0051
8/31/2011,-0.0303
9/30/2011,-0.0452
10/31/2011,0.0079
11/30/2011,-0.0073
12/31/2011,0.0042
1/31/2012,0.0486
2/29/2012,0.0139
3/31/2012,0.0278
4/30/2012,-0.0013
5/31/2012,-0.0303
6/30/2012,0.0251
7/31/2012,0.0098
8/31/2012,0.0416
9/30/2012,0.0263
10/31/2012,0.0111
11/30/2012,0.0041
12/31/2012,0.029
1/31/2013,0.0485
2/28/2013,0.0185
3/31/2013,0.0193
4/30/2013,0.0055
5/31/2013,0.0154
6/30/2013,0.003
7/31/2013,0.0176
8/31/2013,-0.0007
9/30/2013,0.0144
10/31/2013,0.0301
11/30/2013,0.0084
12/31/2013,0.0788
1/31/2014,-0.0128
2/28/2014,-0.0022
3/31/2014,-0.0048
4/30/2014,0.0017
5/31/2014,0.0277
6/30/2014,0.041
7/31/2014,-0.0145
8/31/2014,0.049
9/30/2014,0.0075
10/31/2014,0.0066
11/30/2014,0.0219
12/31/2014,0.002
1/31/2015,0.0024
2/28/2015,0.0141
3/31/2015,0.0051
4/30/2015,0.0067
5/31/2015,0.0065
6/30/2015,0.0144
7/31/2015,-0.01
8/31/2015,-0.0233
9/30/2015,0.0005
10/31/2015,0.0123
11/30/2015,0.008
12/31/2015,-0.0124
1/31/2016,-0.0328
2/29/2016,-0.0086
3/31/2016,0.0444
4/30/2016,0.005
5/31/2016,0.0032
6/30/2016,-0.0007
7/31/2016,0.017
8/31/2016,0.0019
9/30/2016,0.0085
10/31/2016,0.0034
11/30/2016,0.0369
12/31/2016,0.0193
1/31/2017,-0.0012
2/28/2017,0.0172
3/31/2017,0.0033
4/30/2017,0.0091
5/31/2017,0.0102
6/30/2017,0.013
7/31/2017,0.0091
8/31/2017,-0.0033
9/30/2017,0.0141
10/31/2017,0.0094
11/30/2017,0.0181
12/31/2017,0.003
1/31/2018,0.0074
2/28/2018,-0.0072
3/31/2018,0.0081
4/30/2018,-0.0029
5/31/2018,0.0075
6/30/2018,-0.0026
7/31/2018,0.0021
8/31/2018,-0.0047
9/30/2018,0.0052
10/31/2018,-0.0327
11/30/2018,0.0203
12/31/2018,-0.0377
1/31/2019,0.0433
2/28/2019,0.0115
3/31/2019,-0.0055
4/30/2019,-0.0029
5/31/2019,0.0009
6/30/2019,0.0236
7/31/2019,0.0125
8/31/2019,-0.0261
9/30/2019,0.0155
10/31/2019,0.0051
11/30/2019,0.0091
12/31/2019,0.0062
1/31/2020,-0.024
2/29/2020,-0.0304
3/31/2020,-0.1016
4/30/2020,0.0826
5/31/2020,-0.0068
6/30/2020,-0.0184
7/31/2020,0.0195
8/31/2020,0.0261
9/30/2020,-0.0018
10/31/2020,0.002
11/30/2020,0.0833
12/31/2020,0.026
1/31/2021,-0.0124
2/28/2021,0.0624
3/31/2021,0.0414
4/30/2021,0.023
5/31/2021,0.0411
6/30/2021,0.0041
7/31/2021,-0.0017
8/31/2021,0.0104
9/30/2021,0.0248
10/31/2021,0.0221
11/30/2021,-0.0148
12/31/2021,0.0321
1/31/2022,0.0344
2/28/2022,0.0374
